Clase,lat,lng
SU,-34.583888,-58.506826
SU,-34.583888,-58.506826
SU,-34.597396,-58.506685
SU,-34.584680,-58.506660
SU,-34.584680,-58.506660
DI,-34.653841,-58.506613
SU,-34.661287,-58.506515
SU,-34.661287,-58.506515
SU,-34.661287,-58.506515
SU,-34.592440,-58.506356
SU,-34.592440,-58.506356
SU,-34.590027,-58.506107
SU,-34.590027,-58.506107
SU,-34.603567,-58.505942
SU,-34.647606,-58.505933
SU,-34.592159,-58.505902
SU,-34.646818,-58.505891
SU,-34.646818,-58.505891
SU,-34.583301,-58.505888
SU,-34.626310,-58.505854
SU,-34.626310,-58.505854
SU,-34.646908,-58.505633
SU,-34.640676,-58.505603
SU,-34.640676,-58.505603
SU,-34.640676,-58.505603
SU,-34.590736,-58.505587
DI,-34.615415,-58.505580
DI,-34.653135,-58.505479
DI,-34.654660,-58.505428
SU,-34.644640,-58.505380
SU,-34.644640,-58.505380
SU,-34.607057,-58.505297
SU,-34.627455,-58.505270
SU,-34.627455,-58.505270
SU,-34.570686,-58.505257
SU,-34.598352,-58.505214
SU,-34.630738,-58.505212
SU,-34.639805,-58.505146
SU,-34.639805,-58.505146
SU,-34.598962,-58.505136
SU,-34.598962,-58.505136
SU,-34.646435,-58.505083
SU,-34.596112,-58.505061
SU,-34.613489,-58.504996
SU,-34.614228,-58.504948
SU,-34.606113,-58.504886
SU,-34.606113,-58.504886
SU,-34.605925,-58.504837
SU,-34.614094,-58.504716
SU,-34.631977,-58.504710
SU,-34.595011,-58.504658
SU,-34.632034,-58.504652
SU,-34.632034,-58.504652
SU,-34.585790,-58.504584
SU,-34.599745,-58.504540
OF,-34.645117,-58.504506
SU,-34.627560,-58.504459
SU,-34.627560,-58.504459
SU,-34.582026,-58.504357
SU,-34.600293,-58.504322
SU,-34.623471,-58.504300
SU,-34.575316,-58.504233
SU,-34.627172,-58.504115
OF,-34.640606,-58.504108
SU,-34.596425,-58.504006
SU,-34.639137,-58.503963
SU,-34.593596,-58.503850
SU,-34.631778,-58.503826
SU,-34.589698,-58.503753
SU,-34.589698,-58.503753
SU,-34.628040,-58.503707
SU,-34.628040,-58.503707
SU,-34.628040,-58.503707
SU,-34.578841,-58.503675
SU,-34.578841,-58.503675
SU,-34.603007,-58.503519
SU,-34.603007,-58.503519
SU,-34.637049,-58.503485
SU,-34.643562,-58.503457
SU,-34.579155,-58.503391
SU,-34.579155,-58.503391
SU,-34.638581,-58.503370
SU,-34.613132,-58.503333
SU,-34.613132,-58.503333
SU,-34.637881,-58.503280
SU,-34.590506,-58.503231
RE,-34.603503,-58.503189
SU,-34.592574,-58.503112
SU,-34.592574,-58.503112
SU,-34.578126,-58.503037
SU,-34.578126,-58.503037
SU,-34.578126,-58.503037
SU,-34.578126,-58.503037
SU,-34.632412,-58.502982
SU,-34.581631,-58.502928
SU,-34.616350,-58.502902
SU,-34.633338,-58.502798
OF,-34.640215,-58.502798
DI,-34.669579,-58.502752
SU,-34.640269,-58.502730
SU,-34.625863,-58.502653
SU,-34.613917,-58.502649
SU,-34.613917,-58.502649
SU,-34.571928,-58.502635
SU,-34.624055,-58.502460
SU,-34.610518,-58.502456
SU,-34.610518,-58.502456
DI,-34.667194,-58.502450
SU,-34.625592,-58.502448
SU,-34.562756,-58.502431
SU,-34.624129,-58.502427
SU,-34.627112,-58.502367
SU,-34.627112,-58.502367
SU,-34.625575,-58.502332
SU,-34.561451,-58.502320
SU,-34.610395,-58.502251
SU,-34.651219,-58.502226
SU,-34.651219,-58.502226
SU,-34.562181,-58.502186
SU,-34.562181,-58.502186
SU,-34.597577,-58.502133
SU,-34.606709,-58.502086
SU,-34.606709,-58.502086
SU,-34.576728,-58.502060
RE,-34.582204,-58.502001
SU,-34.591948,-58.501948
SU,-34.591948,-58.501948
SU,-34.591948,-58.501948
SU,-34.578647,-58.501900
SU,-34.582004,-58.501827
SU,-34.648791,-58.501788
SU,-34.622776,-58.501774
SU,-34.631275,-58.501766
SU,-34.606506,-58.501744
SU,-34.575043,-58.501707
OF,-34.643755,-58.501689
SU,-34.629221,-58.501638
SU,-34.629181,-58.501591
SU,-34.629167,-58.501576
SU,-34.572862,-58.501553
SU,-34.566845,-58.501493
SU,-34.648620,-58.501396
SU,-34.629192,-58.501394
SU,-34.629192,-58.501394
